Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1300
,,,Misc_Cholera,Misc_Cholera,Cholera,អាសន្នរោគ,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Cholera, unspecified","Misc_Cholera, unspecified","Cholera, unspecified",សង្ស័យអាសន្នរោគ,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Typhoid and Paratyphoid Fevers,Misc_Typhoid and Paratyphoid Fevers,Typhoid and Paratyphoid Fevers,គ្រុនពោះវៀន,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Amebiasis,Misc_Amebiasis,Amebiasis,រាកមួល​,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Amebic Liver Abscess,Misc_Amebic Liver Abscess,Amebic Liver Abscess,Amebic Liver Abscess,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Gastroenteritis diarrhea (GE),Misc_Gastroenteritis diarrhea (GE),Gastroenteritis diarrhea (GE),រាកគ្មានខ្សោះជាតិទឹក(GE),,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Gastroenteritis diarrhea, moderate (GE)","Misc_Gastroenteritis diarrhea, moderate (GE)","Gastroenteritis diarrhea, moderate (GE)",រាកមានខ្សោះជាតិទឹកមធ្យម(GE),,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Gastroenteritis diarrhea, severe (GE)","Misc_Gastroenteritis diarrhea, severe (GE)","Gastroenteritis diarrhea, severe (GE)",រាកមានខ្សោះជាតិទឹកធ្ងន់ធ្ងរ(GE),,,Misc,N/A,,,,,,,,,,,
,,,Misc_Tetanus neonatorum,Misc_Tetanus neonatorum,Tetanus neonatorum,តេតាណូសទារក,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Tetanus, other","Misc_Tetanus, other","Tetanus, other",តេតាណូសផ្សេងៗទៀត,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Diphtheria,Misc_Diphtheria,Diphtheria,ខាន់ស្លាក់,,,Misc,N/A,,,,,,,,,,,
,,,Misc_Whooping cough,Misc_Whooping cough,Whooping cough,ក្អកមាន់,,,Misc,N/A,,,,,,,,,,,
,,,"Misc_Sepsis, unspecified organism","Misc_Sepsis, unspecified organism","Sepsis, unspecified organism",ឆ្លងរោគក្នុងឈាម,,,Misc,N/A,,,,,,,,,,,
